index	confidence	rules
293 	0.959	['5.7']=>['No']
294 	0.959	['5.6']=>['No']
295 	0.958	['7.2']=>['No']
296 	0.958	['7', '7.2']=>['No']
297 	0.958	['6', '6.7']=>['No']
298 	0.957	['5.9']=>['No']
299 	0.957	['8.1']=>['No']
300 	0.957	['7.4', '5.3']=>['No']
301 	0.955	['6', '7.3']=>['No']
302 	0.955	['7', '7.6']=>['No']
303 	0.952	['6.2']=>['No']
304 	0.952	['7', '6.7']=>['No']
305 	0.952	['7', '6.4']=>['No']
306 	0.952	['6.6', '7.3']=>['No']
307 	0.950	['7', '4.8']=>['No']
308 	0.947	['6', '6.9']=>['No']
309 	0.947	['7', '4.6']=>['No']
310 	0.947	['7.5', '5.8']=>['No']
311 	0.947	['7', '5.4']=>['No']
312 	0.946	['8.4']=>['No']
313 	0.946	['8.7']=>['No']
314 	0.945	['6.3']=>['No']
315 	0.944	['8']=>['No']
316 	0.944	['7', '7.9']=>['No']
317 	0.944	['6', '5.6']=>['No']
318 	0.944	['7.4', '6.3']=>['No']
319 	0.944	['7.3', '6.5']=>['No']
320 	0.941	['7.1', '5.8']=>['No']
321 	0.941	['6', '7.6']=>['No']
322 	0.941	['6', '7']=>['No']
323 	0.941	['6', '5.4']=>['No']
324 	0.941	['6', '7.9']=>['No']
325 	0.941	['6', '6.3']=>['No']
326 	0.941	['5', '5.8']=>['No']
327 	0.939	['5.4']=>['No']
328 	0.938	['5.8', '6.5']=>['No']
329 	0.938	['7.4', '7.6']=>['No']
330 	0.938	['6.4', '5.5']=>['No']
331 	0.938	['7', '8.4']=>['No']
332 	0.938	['5.3', '6.7']=>['No']
333 	0.938	['7', '6.5']=>['No']
334 	0.938	['6.6', '5.8']=>['No']
335 	0.938	['6', '4.4']=>['No']
336 	0.938	['6.3', '5.8']=>['No']
337 	0.935	['6', '5.5']=>['No']
338 	0.934	['5.5']=>['No']
339 	0.933	['7']=>['No']
340 	0.933	['6.6', '6.3']=>['No']
341 	0.933	['7.7', '7.3']=>['No']
342 	0.933	['7.5', '5.7']=>['No']
343 	0.933	['6.6', '6.7']=>['No']
344 	0.933	['8.9', '7.3']=>['No']
345 	0.933	['6.7', '5.8']=>['No']
346 	0.932	['7.3']=>['No']
347 	0.929	['9.7']=>['No']
348 	0.929	['5.8']=>['No']
349 	0.929	['7.8']=>['No']
350 	0.929	['5.3', '5.6']=>['No']
351 	0.929	['7', '8.7']=>['No']
352 	0.929	['7', '7.7']=>['No']
353 	0.929	['7.7', '6.5']=>['No']
354 	0.929	['6', '4.9']=>['No']
355 	0.929	['6.7', '5.5']=>['No']
356 	0.929	['6', '4.8']=>['No']
357 	0.923	['7', '9.1']=>['No']
358 	0.923	['8.7', '7.3']=>['No']
359 	0.923	['6.8', '5.9']=>['No']
360 	0.923	['5', '7.6']=>['No']
361 	0.923	['5.9', '5.8']=>['No']
362 	0.923	['6.2', '5']=>['No']
363 	0.923	['7', '6', '5.5']=>['No']
364 	0.920	['7', '5.5']=>['No']
365 	0.919	['5']=>['No']
366 	0.917	['7.8', '7.6']=>['No']
367 	0.917	['6.2', '5.7']=>['No']
368 	0.917	['8', '6.6']=>['No']
369 	0.917	['5.3', '7.6']=>['No']
370 	0.917	['5', '5.9']=>['No']
371 	0.917	['3.8', '4.8']=>['No']
372 	0.917	['3.7', '7']=>['No']
373 	0.917	['6.2', '6.8']=>['No']
374 	0.914	['6']=>['No']
375 	0.913	['5.8', '7.6']=>['No']
376 	0.909	['2.8']=>['0']
377 	0.909	['0', '4.9']=>['No']
378 	0.909	['8.7', '6.5']=>['No']
379 	0.909	['7.2', '8.4']=>['No']
380 	0.909	['7.6', '6.5']=>['No']
381 	0.909	['5.3', '7.3']=>['No']
382 	0.909	['7.4', '4.6']=>['No']
383 	0.909	['6.2', '5.1']=>['No']
384 	0.905	['5.7', '5.8']=>['No']
385 	0.903	['6.7']=>['No']
386 	0.900	['4.6']=>['No']
387 	0.897	['7.6']=>['No']
388 	0.895	['7.8', '5.8']=>['No']
389 	0.889	['7.8', '6.3']=>['No']
390 	0.882	['4.4']=>['No']
391 	0.875	['9']=>['No']
392 	0.868	['6.1']=>['No']
393 	0.857	['4.1']=>['No']
394 	0.857	['Yes']=>['0']
395 	0.857	['7.3', '7.6']=>['No']
396 	0.857	['5.7', '6.7']=>['No']
397 	0.857	['6.2', '6.7']=>['No']
398 	0.846	['3.4']=>['No']
399 	0.846	['6', '2']=>['No']
400 	0.846	['8', '5.8']=>['No']
401 	0.846	['3.8', '5']=>['No']
402 	0.842	['6', '4.6']=>['No']
403 	0.842	['8', '7.8']=>['No']
404 	0.833	['9.9']=>['No']
405 	0.833	['6.7', '7.3']=>['No']
406 	0.833	['8', '6.3']=>['No']
407 	0.833	['0', '5.6']=>['No']
408 	0.833	['0', '7.7']=>['No']
409 	0.829	['3.6']=>['No']
410 	0.812	['1.4']=>['No']
411 	0.806	['3.7']=>['No']
412 	0.800	['2']=>['No']
413 	0.800	['3.2']=>['No']
414 	0.800	['6.7', '7.6']=>['No']
415 	0.800	['6.8', '0']=>['No']
416 	0.786	['2.6']=>['No']
417 	0.780	['3.8']=>['No']
418 	0.778	['2.1']=>['No']
419 	0.773	['3.5']=>['No']
420 	0.773	['0', '5.8']=>['No']
421 	0.769	['7', '6.1']=>['No']
422 	0.769	['7.4', '0']=>['No']
423 	0.769	['6.8', '5']=>['No']
424 	0.765	['7', '3.8']=>['No']
425 	0.739	['6', '5.2']=>['6.3']
426 	0.739	['6', 'No', '5.2']=>['6.3']
427 	0.739	['6', '5.2']=>['No', '6.3']
428 	0.737	['0', '7.3']=>['No']
429 	0.733	['0.8']=>['No']
430 	0.733	['3.3']=>['No']
431 	0.733	['6', '3.8']=>['No']
432 	0.733	['No', '6.3', '5.8']=>['6']
433 	0.708	['6.3', '5.2']=>['6']
434 	0.708	['No', '6.3', '5.2']=>['6']
435 	0.708	['6.3', '5.2']=>['6', 'No']
